Nodes,Degree,Eigenvector,LFVC,Clustering,Ego,hopset,betweenness,closeness
31,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
32,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
33,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
34,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
35,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
36,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
37,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
38,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
39,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
40,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
41,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
42,0.007260726,0.001249982,0.009638969,0.826839827,0.173160173,111,0.016479521,0.296361502
43,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
44,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
45,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
46,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
47,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
48,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
49,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
50,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
51,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
52,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
53,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
54,0.00660066,0.000243394,4.72E-06,1,0,23,0,0.22895572
55,0.005610561,0.000583291,5.72E-08,0.882352941,0.117647059,50,0.002375228,0.255200876
56,0.005610561,0.000612114,1.18E-07,0.889705882,0.055147059,100,0.002126344,0.254109359
57,0.000330033,0.000468801,5.38E-08,0,0,18,0,0.250413223
58,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
59,0.003630363,0.001001104,8.35E-08,0.672727273,0.327272727,80,0.00496169,0.257477906
60,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
61,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
62,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
63,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
64,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
65,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
66,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
67,0.000660066,0.000500965,5.60E-08,1,0,35,0,0.25453629
68,0.000330033,0.000467723,4.95E-08,0,0,16,0,0.250371839
69,0.000330033,0.000468801,5.38E-08,0,0,18,0,0.250413223
70,0.000330033,0.000467723,4.95E-08,0,0,16,0,0.250371839
71,0.000330033,0.000557584,0.009406992,0,0,73,0,0.290452454
72,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
73,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
74,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
75,0.000330033,2.22E-05,3.15E-06,0,0,12,0,0.225463204
76,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
77,0.000330033,5.28E-05,2.36E-06,0,0,4,0,0.225446429
78,0.000330033,0.000467723,4.95E-08,0,0,16,0,0.250371839
79,0.000330033,1.93E-05,2.24E-06,0,0,2,0,0.225128167
80,0.000330033,3.71E-05,2.29E-06,0,0,3,0,0.225412885
81,0.000330033,0.000468261,5.16E-08,0,0,17,0,0.25039253
82,0.000330033,3.70E-05,2.32E-06,0,0,3,0,0.22754581
83,0.000330033,5.28E-05,2.36E-06,0,0,4,0,0.225446429
84,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
85,0.000330033,1.93E-05,2.24E-06,0,0,2,0,0.225128167
86,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
87,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
88,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
89,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
90,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
91,0.000330033,1.77E-05,2.86E-11,0,0,3,0,0.202269693
92,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
93,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
94,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
95,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
96,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
97,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
98,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
99,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
100,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
101,0.000330033,0.000513518,1.16E-07,0,0,84,0,0.253450439
102,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
103,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
104,0.000330033,1.77E-05,2.86E-11,0,0,3,0,0.202269693
105,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
106,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
107,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
108,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
109,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
110,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
111,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
112,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
113,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
114,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
115,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
116,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
117,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
118,0.000330033,3.42E-05,6.16E-12,0,0,3,0,0.202607823
119,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
120,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
121,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
122,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
123,0.000330033,3.70E-05,2.32E-06,0,0,3,0,0.22754581
124,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
125,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
126,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
127,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
128,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
129,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
130,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
131,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
132,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
133,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
134,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
135,0.000330033,3.56E-05,8.46E-14,0,0,3,0,0.202540107
136,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
137,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
138,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
139,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
140,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
141,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
142,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
143,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
144,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
145,0.000330033,1.77E-05,2.77E-11,0,0,2,0,0.202242691
146,0.000330033,0.000477555,2.17E-08,0,0,22,0,0.250578895
147,0.000330033,0.00047925,3.34E-08,0,0,23,0,0.250973246
148,0.000330033,6.78E-05,2.26E-11,0,0,5,0,0.202892728
149,0.000330033,3.62E-05,3.02E-06,0,0,11,0,0.22556391
150,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
151,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
152,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
153,0.000330033,5.57E-05,3.36E-06,0,0,4,0,0.241819633
154,0.000330033,5.57E-05,3.36E-06,0,0,4,0,0.241819633
155,0.000330033,3.67E-05,9.19E-08,0,0,7,0,0.240457107
156,0.000330033,0.000502563,2.40E-08,0,0,54,0,0.253302123
157,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
158,0.000330033,8.75E-05,2.50E-06,0,0,6,0,0.227375056
159,0.000330033,1.74E-05,6.29E-12,0,0,5,0,0.202229193
160,0.000330033,1.73E-05,5.71E-12,0,0,2,0,0.202148242
161,0.000330033,3.39E-05,2.80E-11,0,0,3,0,0.202377772
162,0.000330033,3.47E-05,3.96E-11,0,0,5,0,0.204619125
163,0.000330033,1.87E-05,5.41E-12,0,0,5,0,0.20244538
164,0.000330033,3.91E-05,5.18E-06,0,0,16,0,0.240552556
165,0.000330033,3.91E-05,5.39E-06,0,0,17,0,0.240590758
166,0.000330033,4.12E-05,0.00010878,0,0,55,0,0.242051446
167,0.000330033,4.02E-05,1.54E-05,0,0,37,0,0.241357336
168,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
169,0.000330033,4.01E-05,1.35E-05,0,0,35,0,0.241280459
170,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
171,0.000330033,3.96E-05,8.53E-06,0,0,27,0,0.240973437
172,0.000330033,3.97E-05,9.47E-06,0,0,29,0,0.241050119
173,0.000330033,3.88E-05,4.44E-06,0,0,12,0,0.240399873
174,0.000330033,4.13E-05,0.000207286,0,0,58,0,0.242167519
175,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
176,0.000330033,4.15E-05,0.000539974,0,0,61,0,0.242283704
177,0.000330033,4.11E-05,9.12E-05,0,0,54,0,0.24201278
178,0.000330033,4.12E-05,0.00010878,0,0,55,0,0.242051446
179,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
180,0.000330033,4.08E-05,4.03E-05,0,0,48,0,0.241781041
181,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
182,0.000330033,4.11E-05,9.12E-05,0,0,54,0,0.24201278
183,0.000330033,2.06E-05,3.33E-06,0,0,56,0,0.240399873
184,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
185,0.000330033,4.12E-05,0.000131899,0,0,56,0,0.242090125
186,0.000330033,4.11E-05,9.12E-05,0,0,54,0,0.24201278
187,0.000330033,2.11E-05,8.63E-06,0,0,72,0,0.241011772
188,0.000330033,2.06E-05,4.12E-06,0,0,57,0,0.240438026
189,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
190,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
191,0.000330033,2.05E-05,1.96E-06,0,0,53,0,0.240285488
192,0.000330033,4.18E-05,0.992647056,0,0,66,0,0.242477593
193,0.000330033,4.14E-05,0.000271862,0,0,59,0,0.242206235
194,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
195,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
196,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
197,0.000330033,2.05E-05,1.96E-06,0,0,53,0,0.240285488
198,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
199,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
200,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
201,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
202,0.000330033,2.06E-05,5.23E-06,0,0,58,0,0.24047619
203,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
204,0.000330033,2.05E-05,1.96E-06,0,0,53,0,0.240285488
205,0.000330033,4.10E-05,6.69E-05,0,0,52,0,0.241935484
206,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
207,0.000330033,2.05E-05,1.68E-06,0,0,52,0,0.240247383
208,0.000330033,4.11E-05,7.76E-05,0,0,53,0,0.241974126
209,0.000330033,4.12E-05,0.00010878,0,0,55,0,0.242051446
210,0.000330033,3.72E-05,8.30E-08,0,0,5,0,0.24047619
211,0.000330033,2.06E-05,9.37E-08,0,0,8,0,0.238601465
212,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
213,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
214,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
215,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
216,0.000330033,6.84E-05,1.92E-05,0,0,40,0,0.243529979
217,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
218,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
219,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
220,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
221,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
222,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
223,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
224,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
225,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
226,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
227,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
228,0.000330033,1.97E-05,5.21E-09,0,0,4,0,0.202472436
229,0.000330033,2.01E-05,2.37E-06,0,0,4,0,0.225832899
230,0.000330033,3.73E-05,8.28E-08,0,0,5,0,0.240781945
231,0.000330033,2.29E-05,1.07E-07,0,0,21,0,0.239374309
232,0.000330033,1.82E-05,5.89E-11,0,0,4,0,0.202702703
233,0.000330033,2.01E-05,2.37E-06,0,0,4,0,0.225832899
234,0.000330033,0.000554721,0.000333903,0,0,104,0,0.31285493
235,0.000330033,3.70E-05,2.32E-06,0,0,3,0,0.22754581
236,0.000330033,0.000467723,4.95E-08,0,0,16,0,0.250371839
237,0.000330033,0.000494985,9.31E-08,0,0,29,0,0.250724038
238,0.000330033,2.02E-05,3.05E-06,0,0,12,0,0.225479982
239,0.000330033,2.00E-05,2.30E-06,0,0,4,0,0.225345828
240,0.000330033,0.0002384,2.54E-06,0,0,3,0,0.201798202
241,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
242,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
243,0.000330033,0.000462054,2.56E-06,0,0,4,0,0.201986534
244,0.000330033,0.006653988,0.010357855,0,0,65,0,0.252689517
245,0.000330033,0.000246813,2.56E-06,0,0,3,0,0.201959608
246,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
247,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
248,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
249,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
250,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
251,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
252,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
253,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
254,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
255,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
256,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
257,0.000330033,0.006256772,2.46E-06,0,0,31,0,0.202540107
258,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
259,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
260,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
261,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
262,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
263,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
264,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
265,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
266,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
267,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
268,0.000330033,0.000236029,4.04E-06,0,0,16,0,0.202134757
269,0.000330033,0.000237104,2.46E-06,0,0,3,0,0.201784763
270,0.000330033,0.000237104,2.46E-06,0,0,3,0,0.201784763
271,0.000330033,0.000246813,2.56E-06,0,0,3,0,0.201959608
272,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
273,0.000330033,0.000246015,2.56E-06,0,0,3,0,0.20197307
274,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
275,0.000330033,0.000274592,3.41E-09,0,0,6,0,0.227221597
276,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
277,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
278,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
279,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
280,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
281,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
282,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
283,0.000330033,0.006241402,2.46E-06,0,0,30,0,0.202513033
284,0.000330033,0.000237104,2.46E-06,0,0,3,0,0.201784763
285,0.000330033,0.000237104,2.46E-06,0,0,3,0,0.201784763
286,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
287,0.000330033,0.000228945,2.46E-06,0,0,2,0,0.201757891
288,0.000330033,1.93E-05,2.24E-06,0,0,2,0,0.225128167
289,0.005280528,0.01359238,0.019508359,0.875,0.125,314,0.00233025,0.333957897
290,0.005940594,0.013623633,0.019508741,0.68627451,0.31372549,312,0.000990753,0.334031529
291,0.000330033,0.000468801,5.38E-08,0,0,18,0,0.250413223
292,0.005280528,0.01359238,0.019508359,0.875,0.125,314,0.000330251,0.333957897
293,0.024092409,0.016191862,1.530628402,0.062024353,0.682661086,1920,0.266365869,0.40929353
294,0.00990099,0.015059014,0.019527754,0.266666667,0.602375479,315,0.009380661,0.334769639
295,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
296,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
297,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
298,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
299,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
300,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
301,0.000330033,0.000518177,1.29E-07,0,0,30,0,0.250827815
302,0.000660066,0.000503161,2.40E-08,0,1,54,0.00232959,0.253344482
303,0.000660066,0.000503161,2.40E-08,0,1,54,0.000330251,0.253344482
304,0.003960396,0.00064283,0.009499219,0.681818182,0.318181818,83,0.00242302,0.291066282
305,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
306,0.000660066,0.000503161,2.40E-08,0,1,54,0.000330251,0.253344482
307,0.001320132,0.001531946,0.009424825,0.5,0.5,89,0.000330251,0.291038325
308,0.005280528,0.01359238,0.019508359,0.875,0.125,314,0.00233025,0.333957897
309,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
310,0.000660066,0.000558249,0.009413635,0,1,73,0.000330251,0.29050815
311,0.000990099,0.001077042,0.009418382,0.333333333,0.666666667,86,0.000330251,0.290982426
312,0.000330033,0.000483701,5.60E-08,0,0,34,0,0.25451491
313,0.005610561,0.013607989,0.019508544,0.772058824,0.227941176,313,0.002659841,0.333994709
314,0.000990099,0.001072379,0.009422601,0.333333333,0.666666667,140,0.000330251,0.294546515
315,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
316,0.005280528,0.000115701,1.17E-10,1,0,19,0,0.205354117
317,0.001320132,0.001531946,0.009424825,0.5,0.5,89,0.00232959,0.291038325
318,0.000660066,5.34E-05,4.60E-11,1,0,8,0,0.204882007
319,0.002970297,4.77E-05,4.94E-11,1,0,12,0,0.204882007
320,0.000330033,0.000557584,0.009406992,0,0,73,0,0.290452454
321,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
322,0.000660066,0.000558249,0.009413635,0,1,73,0.00032959,0.29050815
323,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
324,0.000330033,0.000513518,1.16E-07,0,0,84,0,0.253450439
325,0.000330033,0.000513518,1.16E-07,0,0,84,0,0.253450439
326,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
327,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
328,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
329,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
330,0.000990099,0.000514743,1.17E-07,0,1,84,0.000660502,0.253535269
331,0.000330033,1.77E-05,2.86E-11,0,0,3,0,0.202269693
332,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
333,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
334,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
335,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
336,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
337,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
338,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
339,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
340,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
341,0.027722772,0.014918716,0.01951502,0.032989099,0.951807229,334,0.077907167,0.339457764
342,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
343,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
344,0.000330033,1.77E-05,2.86E-11,0,0,3,0,0.202269693
345,0.000990099,0.000514743,1.17E-07,0,1,84,0.000660502,0.253535269
346,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
347,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
348,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
349,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
350,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
351,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
352,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
353,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
354,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
355,0.000660066,0.00051413,1.17E-07,0,1,84,0.00233025,0.253492847
356,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
357,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
358,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
359,0.000990099,0.00099395,1.46E-07,0.333333333,0.666666667,91,0.00233025,0.254066745
360,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
361,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
362,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
363,0.000660066,0.00051413,1.17E-07,0,1,84,0.00032959,0.253492847
364,0.000990099,0.001072379,0.009422601,0.333333333,0.666666667,140,0.000330251,0.294546515
365,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
366,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
367,0.000660066,0.00051413,1.17E-07,0,1,84,0.00233025,0.253492847
368,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
369,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
370,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
371,0.000660066,0.00051413,1.17E-07,0,1,84,0.00233025,0.253492847
372,0.000660066,0.00051413,1.17E-07,0,1,84,0.00233025,0.253492847
373,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
374,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
375,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
376,0.000990099,0.001032923,2.39E-07,0.333333333,0.666666667,99,0.00032959,0.253960272
377,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
378,0.000660066,0.00051413,1.17E-07,0,1,84,0.000330251,0.253492847
